dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD-GMAE rep50,042,gpt,GPT-5.4,single_shot,1-Shot,-2.4862289428710938,-1.8181324005126953,0.668096542,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,044,gpt,GPT-5.4,single_shot,1-Shot,-5.068367004394531,-4.688911437988281,0.379455566,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,045,gpt,GPT-5.4,single_shot,1-Shot,-2.8482284545898438,-2.8482284545898438,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,046,gpt,GPT-5.4,single_shot,1-Shot,-8.329936981201172,-7.671304702758789,0.658632278,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,047,gpt,GPT-5.4,single_shot,1-Shot,-10.486995697021484,-10.415063858032227,0.071931839,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,048,gpt,GPT-5.4,single_shot,1-Shot,-2.903726577758789,-2.903726577758789,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,049,gpt,GPT-5.4,single_shot,1-Shot,-8.249351501464844,-7.621452331542969,0.627899170,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,050,gpt,GPT-5.4,single_shot,1-Shot,-11.695274353027344,-11.695274353027344,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,001,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.980229139328003,-4.743168592453003,0.237060547,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,002,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.5041396617889404,-3.5041396617889404,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,003,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.1345107555389404,-3.134342908859253,0.000167847,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,004,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.2280120849609375,-7.2280120849609375,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,005,claude,Claude Sonnet 4.6,single_shot,1-Shot,-6.2375946044921875,-6.176261901855469,0.061332703,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,006,claude,Claude Sonnet 4.6,single_shot,1-Shot,-5.4569244384765625,-3.9466781616210938,1.510246277,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,007,claude,Claude Sonnet 4.6,single_shot,1-Shot,-11.654596328735352,-6.983524322509766,4.671072006,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,009,claude,Claude Sonnet 4.6,single_shot,1-Shot,-5.017307281494141,-4.527713775634766,0.489593506,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,010,claude,Claude Sonnet 4.6,single_shot,1-Shot,-10.075138092041016,-9.262384414672852,0.812753677,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,011,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.2839298248291016,-3.282930374145508,0.000999451,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,012,claude,Claude Sonnet 4.6,single_shot,1-Shot,-9.668636322021484,-9.34560775756836,0.323028564,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,015,claude,Claude Sonnet 4.6,single_shot,1-Shot,-10.643351554870605,-10.208537101745605,0.434814453,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,016,claude,Claude Sonnet 4.6,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,017,claude,Claude Sonnet 4.6,single_shot,1-Shot,-8.466651916503906,-7.173670768737793,1.292981148,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,018,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.113170623779297,-2.030193328857422,0.082977295,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,019,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.493175506591797,-3.493175506591797,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,020,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.7164688110351562,-2.7164840698242188,-0.000015259,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,021,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.241325378417969,-4.241508483886719,-0.000183105,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,022,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.159950256347656,-6.488563537597656,0.671386719,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,023,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,024,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.288808822631836,-3.1458511352539062,0.142957687,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,026,claude,Claude Sonnet 4.6,single_shot,1-Shot,-19.925071716308594,-19.317611694335938,0.607460022,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,027,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.707094192504883,-7.707033157348633,0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,028,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.268787384033203,-7.268787384033203,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,029,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.739093780517578,-2.729450225830078,0.009643555,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,030,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.292024612426758,-4.276355743408203,0.015668869,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,031,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.339601516723633,-7.339723587036133,-0.000122070,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,032,claude,Claude Sonnet 4.6,single_shot,1-Shot,-1.094757080078125,-1.094757080078125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,033,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.2235107421875,-2.7376708984375,0.485839844,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,034,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.4394569396972656,-3.4162750244140625,0.023181915,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,035,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.418554306030273,-4.418554306030273,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,036,claude,Claude Sonnet 4.6,single_shot,1-Shot,-0.16718101501464844,-0.16718101501464844,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,037,claude,Claude Sonnet 4.6,single_shot,1-Shot,-9.236335754394531,-9.077842712402344,0.158493042,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,038,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.3192520141601562,-3.2947616577148438,0.024490356,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
