dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,01,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.6317179203033447,-3.6311686038970947,0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,gemini,Gemini 2.5 Pro,no_slip,w/o Slip,-11.652278900146484,-11.829994201660156,-0.177715302,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,gpt,GPT-5.4,no_slip,w/o Slip,-3.627323865890503,-3.627323865890503,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,gpt,GPT-5.4,no_slip,w/o Slip,-4.769039154052734,-4.764400482177734,0.004638672,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,gpt,GPT-5.4,no_slip,w/o Slip,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,gpt,GPT-5.4,no_slip,w/o Slip,-2.2549095153808594,-2.2549095153808594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,gpt,GPT-5.4,no_slip,w/o Slip,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,06,gpt,GPT-5.4,no_slip,w/o Slip,-2.164623260498047,-2.164623260498047,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,gpt,GPT-5.4,no_slip,w/o Slip,-7.030705213546753,-7.051090955734253,-0.020385742,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,08,gpt,GPT-5.4,no_slip,w/o Slip,-7.190608978271484,-7.190670013427734,-0.000061035,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,gpt,GPT-5.4,no_slip,w/o Slip,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,gpt,GPT-5.4,no_slip,w/o Slip,-2.7095260620117188,-2.7095260620117188,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,gpt,GPT-5.4,no_slip,w/o Slip,-2.3813095092773438,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,gpt,GPT-5.4,no_slip,w/o Slip,-2.0813217163085938,-2.0813217163085938,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,gpt,GPT-5.4,no_slip,w/o Slip,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,gpt,GPT-5.4,no_slip,w/o Slip,-3.5911407470703125,-3.4312286376953125,0.159912109,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,gpt,GPT-5.4,no_slip,w/o Slip,-3.257709503173828,-2.9635086059570312,0.294200897,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
