backend,case_id,variant,best_energy,success,failure_class,iterations,tokens_used,raw_status,error,full_energy,full_success,delta_vs_full_recomputed
Claude Sonnet 4.6,050,no_slip,-11.695304870605469,True,success,5,33125,success,,-11.695304870605469,True,0.0
Claude Sonnet 4.6,001,no_forbid,-4.743168592453003,True,success,3,27797,success,,-4.980229139328003,True,0.237060546875
Claude Sonnet 4.6,002,no_forbid,-3.3380630016326904,True,success,3,28544,success,,-3.5041396617889404,True,0.16607666015625
Claude Sonnet 4.6,003,no_forbid,-3.134526014328003,True,success,4,39679,success,,-3.1345107555389404,True,-1.52587890625e-05
Claude Sonnet 4.6,004,no_forbid,-7.2280120849609375,True,success,5,39290,success,,-7.2280120849609375,True,0.0
Claude Sonnet 4.6,005,no_forbid,-6.2419891357421875,True,success,5,39868,success,,-6.2375946044921875,True,-0.00439453125
Claude Sonnet 4.6,006,no_forbid,-5.45648193359375,True,success,5,36913,success,,-5.4569244384765625,True,0.0004425048828125
Claude Sonnet 4.6,007,no_forbid,-11.654718399047852,True,success,4,39228,success,,-11.654596328735352,True,-0.0001220703125
Claude Sonnet 4.6,008,no_forbid,-4.444711685180664,True,success,5,37428,success,,-4.546131134033203,True,0.10141944885253906
Claude Sonnet 4.6,009,no_forbid,-4.933322906494141,True,success,5,36918,success,,-5.017307281494141,True,0.083984375
Claude Sonnet 4.6,010,no_forbid,-10.075138092041016,True,success,5,38758,success,,-10.075138092041016,True,0.0
Claude Sonnet 4.6,011,no_forbid,-3.283937454223633,True,success,2,18818,success,,-3.2839298248291016,True,-7.62939453125e-06
Claude Sonnet 4.6,012,no_forbid,-9.559200286865234,True,success,5,38314,success,,-9.668636322021484,True,0.10943603515625
Claude Sonnet 4.6,013,no_forbid,-3.3845252990722656,True,success,5,39920,success,,-3.34561538696289,True,-0.038909912109375444
Claude Sonnet 4.6,014,no_forbid,-7.854701995849609,True,success,5,40786,success,,-7.570980072021484,True,-0.283721923828125
Claude Sonnet 4.6,015,no_forbid,-10.643351554870605,True,success,5,37630,success,,-10.643351554870604,True,-1.7763568394002505e-15
Claude Sonnet 4.6,016,no_forbid,-14.549540519714355,True,success,5,39697,success,,-14.549540519714355,True,0.0
Claude Sonnet 4.6,017,no_forbid,-7.490046501159668,True,success,5,36671,success,,-8.466651916503906,True,0.9766054153442383
Claude Sonnet 4.6,018,no_forbid,-2.149435043334961,True,success,5,31502,success,,-2.113170623779297,True,-0.03626441955566406
Claude Sonnet 4.6,019,no_forbid,-3.493633270263672,True,success,5,32709,success,,-3.493175506591797,True,-0.000457763671875
Claude Sonnet 4.6,020,no_forbid,-2.7175216674804688,True,success,5,36276,success,,-2.716468811035156,True,-0.001052856445312944
Claude Sonnet 4.6,021,no_forbid,-4.417289733886719,True,success,5,36300,success,,-4.241325378417969,True,-0.17596435546875
Claude Sonnet 4.6,022,no_forbid,-7.176612854003906,True,success,5,36082,success,,-7.159950256347656,True,-0.01666259765625
Claude Sonnet 4.6,023,no_forbid,-4.346961975097656,True,success,5,40013,success,,-4.346961975097656,True,0.0
Claude Sonnet 4.6,024,no_forbid,-3.288808822631836,True,success,5,38820,success,,-3.288808822631836,True,0.0
Claude Sonnet 4.6,025,no_forbid,-8.408592224121094,True,success,5,40593,success,,-7.8810882568359375,True,-0.5275039672851562
Claude Sonnet 4.6,026,no_forbid,-19.950759887695312,True,success,5,32990,success,,-19.925071716308594,True,-0.02568817138671875
