canonical_dir,source_dir,variant,case_id,action
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,007,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,008,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,009,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,010,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,011,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,012,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,013,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,014,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,015,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,016,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,017,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,018,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,019,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,020,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,021,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,022,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,023,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,024,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,025,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,026,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,027,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,028,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,029,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,030,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,031,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,032,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,033,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,034,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,035,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,036,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,037,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,038,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,039,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,040,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,041,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,042,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,043,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,044,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,045,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,046,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,047,copied
