case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,grok4_best_energy,grok4_delta_vs_full,grok4_success,openai_gpt54_best_energy,openai_gpt54_delta_vs_full,openai_gpt54_success,anthropic_claude_best_energy,anthropic_claude_delta_vs_full,anthropic_claude_success
14,no_slip,4,4,4,0,-3.6166324615478516,-3.4312286376953125,0.18540382385253906,-3.563908576965332,-3.603886604309082,-0.01149749755859375,0.159912109375,0.17140960693359375,0.03710365295410156,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6166324615478516,0.0,True,-3.6166324615478516,0.0,True,-3.4312286376953125,0.159912109375,True,-3.5911407470703125,-0.01149749755859375,True
14,no_termination,4,4,4,0,-3.6166324615478516,-3.5911407470703125,0.025491714477539062,-3.603886604309082,-3.603886604309082,-0.01149749755859375,0.0,0.01149749755859375,-0.0028743743896484375,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6166324615478516,0.0,True,-3.6166324615478516,0.0,True,-3.5911407470703125,0.0,True,-3.5911407470703125,-0.01149749755859375,True
14,single_shot,4,4,4,0,-3.6166324615478516,-3.2450809478759766,0.371551513671875,-3.436568260192871,-3.442279815673828,0.0,0.371551513671875,0.371551513671875,0.1644439697265625,0.1431121826171875,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.6166324615478516,0.0,True,-3.2450809478759766,0.371551513671875,True,-3.4312286376953125,0.159912109375,True,-3.4533309936523438,0.126312255859375,True
15,full,4,4,4,0,-3.257709503173828,-3.257678985595703,3.0517578125e-05,-3.257701873779297,-3.257709503173828,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.257709503173828,0.0,True,-3.257709503173828,0.0,True,-3.257709503173828,0.0,True,-3.257678985595703,0.0,True
15,no_forbid,4,4,4,0,-3.3851089477539062,-2.9635696411132812,0.421539306640625,-3.2160167694091797,-3.2576942443847656,-0.12739944458007812,0.2941398620605469,0.421539306640625,0.04168510437011719,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.9635696411132812,0.2941398620605469,True,-3.257709503173828,0.0,True,-3.3851089477539062,-0.12739944458007812,True,-3.257678985595703,0.0,True
15,no_slip,4,4,4,0,-3.257709503173828,-2.9635086059570312,0.2942008972167969,-3.184159278869629,-3.257709503173828,-3.0517578125e-05,0.2942008972167969,0.2942314147949219,0.07354259490966797,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.257709503173828,0.0,True,-3.257709503173828,0.0,True,-2.9635086059570312,0.2942008972167969,True,-3.257709503173828,-3.0517578125e-05,True
15,no_termination,4,4,4,0,-3.257709503173828,-3.257678985595703,3.0517578125e-05,-3.257701873779297,-3.257709503173828,-3.0517578125e-05,3.0517578125e-05,6.103515625e-05,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-3.257678985595703,3.0517578125e-05,True,-3.257709503173828,0.0,True,-3.257709503173828,0.0,True,-3.257709503173828,-3.0517578125e-05,True
15,single_shot,4,4,4,0,-2.9636917114257812,-2.5872459411621094,0.3764457702636719,-2.8017663955688477,-2.82806396484375,0.2940177917480469,0.6704635620117188,0.3764457702636719,0.4559354782104492,0.4296302795410156,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.888652801513672,0.36905670166015625,True,-2.5872459411621094,0.6704635620117188,True,-2.9636917114257812,0.2940177917480469,True,-2.767475128173828,0.490203857421875,True
16,full,4,4,4,0,-4.662910461425781,-4.272052764892578,0.3908576965332031,-4.5651960372924805,-4.662910461425781,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.662910461425781,0.0,True,-4.662910461425781,0.0,True,-4.272052764892578,0.0,True,-4.662910461425781,0.0,True
16,no_forbid,4,4,4,0,-4.662910461425781,-4.662910461425781,0.0,-4.662910461425781,-4.662910461425781,-0.3908576965332031,0.0,0.3908576965332031,-0.09771442413330078,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-4.662910461425781,0.0,True,-4.662910461425781,0.0,True,-4.662910461425781,-0.3908576965332031,True,-4.662910461425781,0.0,True
